274 | 2628 | 0
368 | 7828 | 0
538 | 3982 | 0
561 | 2783 | 0
775 | 3771 | 0
825 | 3085 | 0
39 | 4258 | 0
120 | 4973 | 0
205 | 3605 | 0
401 | 3667 | 0
581 | 2943 | 0
674 | 2527 | 0
854 | 2847 | 0
895 | 3385 | 0
937 | 4681 | 0
283 | 4082 | 0
381 | 2959 | 0
766 | 6265 | 0
883 | 4902 | 0
966 | 3921 | 0
569 | 2835 | 0
798 | 3103 | 0
350 | 3069 | 0
529 | 7057 | 0
682 | 4132 | 0
782 | 2767 | 0
947 | 3690 | 0
390 | 2685 | 0
71 | 3507 | 0
279 | 3014 | 0
597 | 2883 | 0
675 | 2976 | 0
720 | 3864 | 0
914 | 4037 | 0
183 | 3883 | 0
217 | 5375 | 0
653 | 2634 | 0
175 | 2791 | 0
177 | 4629 | 0
571 | 2902 | 0
795 | 3361 | 0
960 | 2732 | 0
862 | 3649 | 0
778 | 2514 | 0
614 | 3134 | 0
888 | 3686 | 0
944 | 2794 | 0
151 | 2611 | 0
419 | 5057 | 0
722 | 5845 | 0
844 | 2814 | 0
918 | 3012 | 0
526 | 2793 | 0
789 | 4309 | 0
541 | 3735 | 0
471 | 2894 | 0
487 | 3135 | 0
631 | 2793 | 0
758 | 2860 | 0
956 | 3626 | 0
145 | 4559 | 0
676 | 2717 | 0
885 | 3043 | 0
522 | 2725 | 0
617 | 2614 | 0
12 | 3415 | 0
354 | 5835 | 0
548 | 2843 | 0
684 | 5408 | 0
346 | 3470 | 0
829 | 6810 | 0
460 | 4438 | 0
919 | 3710 | 0
489 | 3420 | 0
494 | 5102 | 0
362 | 4388 | 0
871 | 2810 | 0
72 | 2852 | 0
132 | 2641 | 0
21 | 2666 | 0
32 | 4248 | 0
54 | 2595 | 0
239 | 2742 | 0
112 | 2680 | 0
140 | 2687 | 0
285 | 2600 | 0
93 | 2777 | 0
606 | 2668 | 0
236 | 2618 | 0
593 | 2601 | 0
797 | 2684 | 0
509 | 3044 | 0
793 | 3063 | 0
598 | 3219 | 0
470 | 4137 | 0
8 | 3090 | 0
413 | 2637 | 0
692 | 4993 | 0
694 | 2847 | 0
57 | 2743 | 0
752 | 2578 | 0
998 | 2713 | 0
438 | 4511 | 0
75 | 3151 | 0
886 | 3053 | 0
510 | 3281 | 0
661 | 2693 | 0
